Rk,Player,Tm,PER,Seed,W,L,W/L%,MP,FG,FGA,FG%,3P,3PA,3P%,TRB,AST,STL,BLK,PTS,Prob%,WS,WS48,TS.
1,Giannis Antetokounmpo,MIL,31.6,1,53,12,0.815,30.9,10.9,20,0.547,1.5,4.8,0.306,13.7,5.8,1,1,29.6,50.70%,10.4,0.282,0.608
2,LeBron James,LAL,26,1,49,14,0.778,34.9,9.8,19.6,0.498,2.2,6.4,0.349,7.9,10.6,1.2,0.5,25.7,17.30%,9.5,0.218,0.582
3,James Harden,HOU,28.4,6,40,24,0.625,36.7,9.9,22.7,0.435,4.4,12.6,0.352,6.4,7.4,1.7,0.9,34.4,10.50%,11.5,0.245,0.616
4,Anthony Davis,LAL,28.2,1,49,14,0.778,34.3,9.2,18.1,0.511,1.2,3.5,0.335,9.4,3.1,1.5,2.4,26.7,9.80%,10.3,0.262,0.614
5,Luka Doncic,DAL,27.7,7,40,27,0.597,33.3,9.5,20.6,0.461,2.9,9.1,0.318,9.3,8.7,1.1,0.2,28.7,4.00%,8.1,0.215,0.584
6,Kawhi Leonard,LAC,26.7,2,44,20,0.688,32.2,9.3,19.9,0.469,2.1,5.7,0.366,7.3,5,1.8,0.6,26.9,2.10%,7.6,0.222,0.585
7,Nikola Joki?,DEN,25,3,43,22,0.662,32.3,7.9,14.9,0.528,1.1,3.5,0.314,10.2,6.9,1.2,0.7,20.2,1.80%,9.2,0.209,0.604
8,Khris Middleton,MIL,21.4,1,53,12,0.815,30.1,7.7,15.5,0.499,2.4,5.8,0.418,6.2,4.1,0.9,0.1,21.1,1.50%,7.4,0.214,0.619
9,Kyle Lowry,TOR,17.9,2,46,18,0.719,36.6,5.9,14.3,0.417,2.9,8.3,0.354,4.8,7.7,1.3,0.4,19.7,1.10%,6.9,0.173,0.589
10,Jimmy Butler,MIA,23.4,4,41,24,0.631,34.3,6.1,13.4,0.454,0.5,2.2,0.248,6.6,6.1,1.7,0.5,20.2,1.10%,8.5,0.219,0.583
