"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"LAL",2000,1,"Shaquille O'Neal",27,120,1207,1210,0.998,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,1,67,15,30.6,0.578
"TOR",2000,10,"Vince Carter",23,0,51,1210,0.042,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182,6,45,37,23.4,0.543
"PHO",2000,11,"Jason Kidd",26,0,25,1210,0.021,67,39,14.3,7.2,10.1,2,0.4,0.409,0.337,0.829,8.5,0.156,5,53,29,18.4,0.498
"LAL",2000,12,"Kobe Bryant",21,0,3,1210,0.002,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,1,67,15,21.7,0.546
"DAL",2000,13,"Michael Finley",26,0,1,1210,0.001,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114,9,40,42,19.2,0.522
"IND",2000,13,"Reggie Miller",34,0,1,1210,0.001,81,36.9,18.1,3,2.3,1,0.3,0.448,0.408,0.919,10.1,0.162,1,56,26,17.3,0.603
"IND",2000,13,"Jalen Rose",27,0,1,1210,0.001,80,37.2,18.2,4.8,4,1.1,0.6,0.471,0.393,0.827,7.3,0.118,1,56,26,16.7,0.547
"ORL",2000,13,"Darrell Armstrong",31,0,1,1210,0.001,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,8,0.149,9,41,41,19.5,0.542
"MIN",2000,2,"Kevin Garnett",23,0,408,1210,0.337,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,6,50,32,23.6,0.545
"MIA",2000,3,"Alonzo Mourning",29,0,367,1210,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,2,52,30,25.8,0.596
"UTA",2000,4,"Karl Malone",36,0,312,1210,0.258,82,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249,2,55,27,27.1,0.582
"SAS",2000,5,"Tim Duncan",23,0,248,1210,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218,4,53,29,24.8,0.555
"SEA",2000,6,"Gary Payton",31,0,180,1210,0.149,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,7,45,37,23.6,0.535
"PHI",2000,7,"Allen Iverson",24,1,132,1210,0.109,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116,5,49,33,20,0.496
"DET",2000,8,"Grant Hill",27,0,113,1210,0.093,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185,7,42,40,24.5,0.565
"SAC",2000,9,"Chris Webber",26,0,96,1210,0.079,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179,8,44,38,23.4,0.53
"PHI",2001,1,"Allen Iverson",25,93,1121,1240,0.904,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,1,56,26,24,0.518
"SAS",2001,10,"David Robinson",35,0,8,1240,0.006,80,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246,1,58,24,23.7,0.559
"MIL",2001,11,"Ray Allen",25,0,7,1240,0.006,82,38.2,22,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211,2,52,30,22.9,0.61
"TOR",2001,11,"Vince Carter",24,0,7,1240,0.006,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208,5,47,35,25,0.551
"BOS",2001,13,"Paul Pierce",23,0,5,1240,0.004,82,38,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16,9,36,46,22.3,0.563
"DET",2001,14,"Jerry Stackhouse",26,0,3,1240,0.002,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137,10,32,50,21.8,0.521
"DAL",2001,15,"Michael Finley",27,0,1,1240,0.001,82,42,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,5,53,29,18.2,0.521
"MIA",2001,15,"Anthony Mason",34,0,1,1240,0.001,80,40.7,16.1,9.6,3.1,1,0.3,0.482,NA,0.781,11.6,0.171,3,50,32,17.4,0.555
"UTA",2001,15,"John Stockton",38,0,1,1240,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,4,53,29,22.3,0.61
"SAS",2001,2,"Tim Duncan",24,18,706,1240,0.569,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2,1,58,24,23.8,0.536
"LAL",2001,3,"Shaquille O'Neal",28,7,578,1240,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245,2,56,26,30.2,0.574
"SAC",2001,4,"Chris Webber",27,5,521,1240,0.42,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186,3,55,27,24.7,0.516
"MIN",2001,5,"Kevin Garnett",24,1,151,1240,0.122,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176,8,47,35,23.9,0.531
"ORL",2001,6,"Tracy McGrady",21,0,64,1240,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,7,43,39,24.9,0.521
"UTA",2001,7,"Karl Malone",37,0,21,1240,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,4,53,29,24.7,0.572
"PHO",2001,8,"Jason Kidd",27,0,18,1240,0.015,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,6,51,31,19.4,0.51
"LAL",2001,9,"Kobe Bryant",22,0,11,1240,0.009,68,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196,2,56,26,24.5,0.552
"SAS",2002,1,"Tim Duncan",25,57,954,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,2,58,24,27,0.576
"DET",2002,10,"Ben Wallace",27,0,24,1260,0.019,80,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19,2,50,32,18.6,0.522
"BOS",2002,11,"Paul Pierce",24,0,22,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187,3,49,33,22.3,0.57
"MIN",2002,12,"Kevin Garnett",25,0,17,1260,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,5,50,32,23.8,0.536
"WAS",2002,13,"Michael Jordan",38,0,16,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075,10,37,45,20.7,0.468
"DAL",2002,14,"Steve Nash",27,0,5,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0,0.483,0.455,0.887,9.9,0.167,4,57,25,20.7,0.602
