"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS.","Points_Rank","Rebounds_Rank","Assists_Rank","Steals_Rank","Blocks_Rank","Per_Rank","TS_Rank","WS_Rank","Wins_Rank","Sum","All_Points_Rank","All_Rebounds_Rank","All_Assists_Rank","All_Steals_Rank","All_Blocks_Rank","All_Per_Rank","All_TS_Rank","All_WS_Rank","All_Wins_Rank","All_Sum"
"LAL",2000,1,"Shaquille O'Neal",27,120,1207,1210,0.998,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,1,67,15,30.6,0.578,1,1,2,4,2,1,3,1,1,15,16,5,70,98,2,8,56,5,2,255
"MIN",2000,2,"Kevin Garnett",23,0,408,1210,0.337,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,6,50,32,23.6,0.545,4,3,1,1,4,5,5,5,5,28,74,15,55,39,24,82,83,80,70,372
"MIA",2000,3,"Alonzo Mourning",29,0,367,1210,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,2,52,30,25.8,0.596,5,4,5,5,1,3,1,4,4,28,81,31,97,99,1,61,37,61,64,407
"UTA",2000,4,"Karl Malone",36,0,312,1210,0.258,82,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249,2,55,27,27.1,0.582,2,5,3,2,5,2,2,2,2,23,53,32,71,72,43,39,52,26,48,362
"SAS",2000,5,"Tim Duncan",23,0,248,1210,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218,4,53,29,24.8,0.555,3,2,4,3,3,4,4,3,3,26,72,12,79,78,18,66,73,57,60,398
"PHI",2001,1,"Allen Iverson",25,93,1121,1240,0.904,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,1,56,26,24,0.518,1,5,2,1,5,3,4,3,2,24,8,93,62,3,77,74,97,77,42,414
"SAS",2001,2,"Tim Duncan",24,18,706,1240,0.569,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2,1,58,24,23.8,0.536,4,2,5,4,2,5,2,2,1,26,79,14,83,79,16,79,88,50,27,438
"LAL",2001,3,"Shaquille O'Neal",28,7,578,1240,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245,2,56,26,30.2,0.574,2,1,4,5,1,1,1,1,3,16,20,9,72,95,6,13,62,31,43,277
"SAC",2001,4,"Chris Webber",27,5,521,1240,0.42,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186,3,55,27,24.7,0.516,3,4,3,3,4,2,5,5,4,29,40,18,66,58,23,68,98,84,49,371
"MIN",2001,5,"Kevin Garnett",24,1,151,1240,0.122,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176,8,47,35,23.9,0.531,5,3,1,2,3,4,3,4,5,25,80,16,56,47,22,76,93,78,84,390
"SAS",2002,1,"Tim Duncan",25,57,954,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,2,58,24,27,0.576,3,1,4,4,1,2,2,1,1,18,54,10,73,90,12,41,59,10,28,339
"NJN",2002,2,"Jason Kidd",28,45,897,1260,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,1,52,30,19.1,0.484,5,4,1,1,5,5,5,5,4,31,99,54,10,10,84,100,100,98,65,457
"LAL",2002,3,"Shaquille O'Neal",29,15,696,1260,0.552,67,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262,3,58,24,29.7,0.59,1,2,5,5,2,1,1,2,2,19,39,23,84,96,21,17,43,51,29,323
"ORL",2002,4,"Tracy McGrady",22,7,390,1260,0.31,76,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189,5,44,38,25.1,0.532,2,3,3,2,3,3,4,4,5,24,52,44,52,30,37,65,91,81,94,371
"LAL",2002,5,"Kobe Bryant",23,1,98,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,3,58,24,23.2,0.544,4,5,2,3,4,4,3,3,3,28,61,73,46,40,69,89,85,66,30,463
"SAS",2003,1,"Tim Duncan",26,60,962,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,1,60,22,26.9,0.564,4,2,4,4,1,3,2,1,1,21,71,8,68,91,3,46,67,13,18,354
"MIN",2003,2,"Kevin Garnett",26,43,871,1190,0.732,82,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225,4,51,31,26.4,0.553,5,1,1,3,3,4,4,3,2,24,73,6,40,48,25,49,76,21,68,317
"LAL",2003,3,"Kobe Bryant",24,8,496,1190,0.417,82,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,5,50,32,26.2,0.55,2,4,2,1,4,5,5,4,3,27,14,58,43,7,46,52,79,32,71,299
"ORL",2003,4,"Tracy McGrady",23,4,427,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,8,42,40,30.3,0.564,1,5,3,2,5,1,3,2,5,22,3,65,47,26,47,12,68,17,97,268
"LAL",2003,5,"Shaquille O'Neal",30,3,126,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,NA,0.622,13.2,0.25,5,50,32,29.5,0.602,3,3,5,5,2,2,1,5,4,26,33,19,80,97,13,18,33,52,72,293
"MIN",2004,1,"Kevin Garnett",27,120,1219,1230,0.991,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,1,58,24,29.4,0.547,1,1,2,2,3,1,3,1,2,14,65,3,57,41,19,19,82,7,31,286
"SAS",2004,2,"Tim Duncan",27,0,716,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,3,57,25,27.1,0.534,4,2,3,4,1,2,4,3,3,23,78,13,81,80,8,40,90,54,35,390
"IND",2004,3,"Jermaine O'Neal",25,2,523,1230,0.425,78,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155,1,61,21,21.1,0.489,5,3,4,5,2,5,5,5,1,34,87,29,94,85,9,98,99,96,14,501
"SAC",2004,4,"Peja Stojakovic",26,1,281,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,4,55,27,21.8,0.624,2,4,5,3,5,4,1,2,5,26,66,66,95,59,85,97,14,49,50,482
"LAL",2004,5,"Kobe Bryant",25,0,212,1230,0.172,65,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,2,56,26,23.7,0.551,3,5,1,1,4,3,2,4,4,23,68,74,54,27,70,81,78,88,44,452
"PHO",2005,1,"Steve Nash",30,65,1066,1270,0.839,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,1,62,20,22,0.606,5,5,1,3,4,5,1,4,1,28,98,97,3,73,91,93,28,86,12,483
"MIA",2005,2,"Shaquille O'Neal",32,58,1032,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,NA,0.461,11,0.211,1,59,23,27,0.583,3,2,4,5,2,1,2,3,2,22,75,26,87,100,17,42,49,85,22,396
"DAL",2005,3,"Dirk Nowitzki",26,0,349,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,4,58,24,26.1,0.578,2,3,3,2,3,3,3,1,4,20,51,30,82,64,26,55,57,22,32,365
